,score,logfoldchanges,pvals,pvals_adj
Sepx1,34.41191482543945,4.315453052520752,1.256102139332957e-157,2.2657798771495034e-154
S100a4,32.57722473144531,6.790896415710449,6.553801264988959e-136,6.844238142100575e-133
Plac8,32.34708786010742,7.191766262054443,6.262921605569209e-129,5.648585931713829e-126
Smpdl3a,32.126041412353516,4.052664279937744,2.6734652189606066e-147,4.080530528816643e-144
Gsr,31.269515991210938,4.6558332443237305,6.101059604185536e-136,6.7254013703471895e-133
H3f3a,30.058507919311523,1.9620221853256226,1.6894702987266337e-142,2.1622491010276614e-139
Gngt2,29.77815055847168,3.3957879543304443,5.312848272208543e-140,6.20103149512717e-137
S100a6,29.350696563720703,4.2408223152160645,4.298250081439388e-127,3.7080816572139274e-124
Anxa2,28.17448616027832,4.250311374664307,9.735933741612826e-119,6.899299903610061e-116
Ifitm6,28.00310516357422,7.071786403656006,7.998150020203925e-108,4.959352896902696e-105
Taldo1,24.177474975585938,2.352017641067505,1.9388182532706497e-102,1.068611993927673e-99
Hp,24.159934997558594,8.759164810180664,4.2920288024434935e-87,1.738008887715996e-84
Fgr,23.969655990600586,5.297275543212891,1.0216279087098952e-96,5.197728452467113e-94
Ear2,23.522628784179688,9.8528470993042,4.487196963952363e-84,1.6799049463913732e-81
Shfm1,23.520771026611328,2.002810001373291,3.1767806679425445e-97,1.6587811056135782e-94
Emr4,23.418106079101562,7.755359649658203,2.683119842426979e-87,1.1091346648632525e-84
Slc25a5,23.287464141845703,1.9496315717697144,9.450273255311989e-96,4.6878080482975115e-93
Cd44,22.787769317626953,4.096258640289307,6.457054246815498e-90,2.9795551247747233e-87
Mgst1,22.579647064208984,5.2662129402160645,3.255581194001089e-81,1.133284948269642e-78
Txn1,22.570735931396484,2.0994362831115723,7.214166604454426e-92,3.4913047259898716e-89
Gda,22.435718536376953,6.318027496337891,1.7226809219347035e-80,5.893350836729032e-78
Apoc2,22.38661766052246,7.94284725189209,1.2876410232217659e-79,4.330402234367166e-77
Mrpl33,22.346412658691406,2.4876816272735596,2.589959848620249e-90,1.2235710313410232e-87
Cd97,22.070106506347656,3.3644297122955322,1.6762822448991544e-87,7.076764319848729e-85
