,score,logfoldchanges,pvals,pvals_adj
Prdx5,21.12318229675293,1.7560762166976929,1.1896134718577374e-81,4.2150554479645046e-79
Itgal,21.1107234954834,6.470348358154297,2.744955431271126e-73,8.0096184804826e-71
Rasgrp2,20.719024658203125,5.775448322296143,1.5928609703414848e-71,4.271019915339965e-69
Fis1,20.454866409301758,2.171203136444092,3.06197547399213e-78,1.0125952892491973e-75
Arpc1b,20.41109848022461,1.036773443222046,1.3051323105077257e-77,4.1768444040474667e-75
Ccnd3,20.40498161315918,3.4446139335632324,3.972981312612484e-74,1.1944226546190443e-71
Arhgdib,20.142454147338867,1.431657314300537,4.719431925336792e-76,1.4631713791020723e-73
Lgals3,19.77409553527832,2.2342076301574707,1.124405892427624e-73,3.329919659335659e-71
Flna,19.718372344970703,2.9110875129699707,6.640048973115162e-73,1.9094471264427686e-70
Napsa,19.56041717529297,2.3942885398864746,8.223595457801674e-71,2.1470076457065897e-68
Samsn1,19.466522216796875,4.236266613006592,2.0419890021436903e-68,5.064643222566887e-66
Psma7,19.423389434814453,1.966192603111267,9.441968496446197e-72,2.602049151478965e-69
Rbm3,19.423364639282227,1.806678295135498,1.0893187374207674e-71,2.960857861356557e-69
Tmsb10,19.33668327331543,1.56582510471344,2.459328792479023e-70,6.256154089790869e-68
Cdk2ap2,19.312644958496094,2.232668399810791,4.449635496011575e-71,1.1771955668248223e-68
S100a11,19.29755401611328,2.679884195327759,3.2623128246578598e-68,7.894001349617227e-66
Ywhaz,19.275426864624023,2.2840192317962646,1.06881886287847e-70,2.7542212827577406e-68
1810033B17Rik,19.27240562438965,5.44117546081543,6.801345882344083e-65,1.5163180336794528e-62
Beta-s,19.217851638793945,3.2351863384246826,1.2877760107302824e-66,3.04191090534646e-64
Treml4,18.889402389526367,6.6578874588012695,3.641009327319007e-63,7.768269577705778e-61
Gpx1,18.864755630493164,1.0228211879730225,2.353384813294508e-68,5.76492116856662e-66
Atp5l,18.83233070373535,1.2730857133865356,1.7189450712472285e-67,4.10931422935994e-65
Slpi,18.79197883605957,6.431262969970703,7.62688224607055e-61,1.4551211300628063e-58
Scand1,18.523235321044922,1.9709821939468384,3.0719349273177877e-66,7.170980332687006e-64
F10,18.499616622924805,10.612386703491211,5.539554225325177e-59,9.81391383383055e-57
H2afj,18.480247497558594,1.9869035482406616,5.58397073089541e-66,1.2883389214235665e-63
Emilin2,18.235952377319336,5.134190559387207,5.906026539040767e-61,1.1377415396858923e-58
S100a8,18.2198543548584,4.594958782196045,1.8647493540225206e-58,3.2456453230276187e-56
Rplp0,18.21405601501465,1.017788290977478,1.9885214205105316e-64,4.335850772062634e-62
Vim,18.164087295532227,2.6161632537841797,8.292218312265106e-63,1.7503637845953643e-60
Tmsb4x,17.924091339111328,0.3387259542942047,1.2774901211974525e-62,2.6682062089263e-60
Ifitm2,17.845365524291992,1.4803277254104614,3.13869917127017e-62,6.354904995545175e-60
AB124611,17.81768798828125,2.521847724914551,5.61459221666009e-62,1.1253003915451464e-59
Nme2,17.74355697631836,1.4852200746536255,1.599238685187906e-61,3.1417914843067757e-59
Il17ra,17.687217712402344,4.533843994140625,2.943270561717811e-57,4.9075944945886394e-55
Cox5a,17.661617279052734,1.5658022165298462,4.147413363902641e-61,8.067938820250607e-59
Nadk,17.60107421875,2.54105544090271,2.109659019638945e-60,3.986652787397709e-58
Trem3,17.598485946655273,8.318378448486328,9.038062577303642e-55,1.4120727374713297e-52
Tyrobp,17.474777221679688,0.5567187070846558,4.9239442266775055e-60,9.046379754234727e-58
LOC100038947,17.45772361755371,3.9612483978271484,1.978099190095643e-59,3.568131284534341e-57
Itga4,17.38664436340332,3.959080934524536,5.0538150982012236e-57,8.28742141971146e-55
Pfn1,17.366167068481445,0.8756027221679688,4.947089147042523e-59,8.843256113118715e-57
Adssl1,17.21913719177246,3.9649717807769775,2.5066526410367357e-56,4.0436586750773095e-54
Crip1,17.149845123291016,1.6667497158050537,1.0311685392328545e-57,1.7638315651257156e-55
Sec61b,16.98783302307129,1.7582329511642456,3.980118614877368e-57,6.581126129699727e-55
Pgk1,16.7879695892334,2.066953182220459,7.536507634256173e-56,1.1963150758312878e-53
Clec4e,16.744274139404297,7.604360103607178,5.474345185030304e-51,7.543191469539673e-49
S100a9,16.72538185119629,4.482771396636963,3.8458031656990846e-51,5.37383284604234e-49
Plaur,16.69976234436035,4.37774658203125,2.4250746047720183e-52,3.5381125226387046e-50
Rpl36al,16.663108825683594,1.4453598260879517,3.0885201141263578e-55,4.863683817817079e-53
Nupr1,16.59136962890625,3.542428731918335,1.436261386354872e-52,2.142729205116795e-50
Gm9733,16.52710723876953,6.619702339172363,2.005202252677179e-50,2.6524815398413724e-48
Ptpn1,16.49826431274414,2.04376220703125,2.0936246171078459e-54,3.2454452853635842e-52
Sept9,16.333520889282227,3.3035621643066406,9.439887375507695e-52,1.3665320738513416e-49
Cd300e,16.27280044555664,7.981727600097656,8.477990590764081e-49,1.05798924089271e-46
Ly6c2,16.228496551513672,7.06549596786499,2.5583117718770823e-48,3.1142344894223967e-46
Tpt1,16.20366096496582,1.07998526096344,1.9506510319843024e-52,2.888419237062129e-50
Pglyrp1,16.181964874267578,7.853304386138916,5.931779814541802e-48,7.133234853341722e-46
Gm5150,16.17524528503418,7.082177639007568,1.3648838441760551e-48,1.6821133687044276e-46
Cd300a,16.012910842895508,3.1739602088928223,1.2718734722234348e-51,1.8026081025612423e-49
Serf2,15.916492462158203,1.3727643489837646,6.788475115430251e-51,9.289442982094279e-49
Rpl41,15.86508846282959,1.0948879718780518,8.484821265936241e-51,1.1452777112837203e-48
Rps27a,15.826213836669922,0.8692812919616699,1.269881929568682e-50,1.7024998139528232e-48
Zfp706,15.80853271484375,1.8112547397613525,1.631120866085444e-50,2.1721275318702937e-48
Prr13,15.733602523803711,1.8320554494857788,5.707647142269487e-50,7.450732539270471e-48
Cox4i1,15.711211204528809,0.8940953612327576,1.2116543811746243e-49,1.5713494268801894e-47
Sec61g,15.65932559967041,1.4377460479736328,1.3863959646853144e-49,1.7862901773562345e-47
Atp5h,15.638949394226074,1.3267383575439453,2.1049255458198487e-49,2.694576301945641e-47
S100a10,15.52510929107666,3.0327844619750977,1.1368505869061194e-46,1.3269052556112482e-44
3110003A17Rik,15.520672798156738,1.726876139640808,6.0246826647232695e-49,7.565933761610071e-47
Myl6,15.480461120605469,1.2910984754562378,1.3873793664784472e-48,1.6992828018311944e-46
Lrp1,15.476388931274414,3.7624166011810303,9.388420526020531e-48,1.1221990366102371e-45
Pkm2,15.299924850463867,1.4585622549057007,9.59491006018273e-48,1.1400132060727289e-45
Gyg,15.158957481384277,3.1584744453430176,1.2208306790025697e-45,1.3685718832072876e-43
Rps16,15.110493659973145,0.7149278521537781,1.0754102714002672e-46,1.2626207458653314e-44
Rps8,15.067183494567871,0.731235682964325,2.007733144437341e-46,2.3296749153172937e-44
