,score,logfoldchanges,pvals,pvals_adj
H2-Eb1,57.12348556518555,3.938392162322998,6.6785855054e-314,1.325164935982935e-309
H2-Ab1,53.114356994628906,3.5137431621551514,3.221223042295219e-289,3.1957753802610867e-285
H2-Aa,50.880611419677734,3.512558937072754,1.551105266076979e-273,6.155406137899883e-270
Cd74,48.00517654418945,2.582209825515747,1.551713592873739e-244,3.848637638725091e-241
C1qa,46.84071731567383,5.1845479011535645,1.0297602931635812e-241,2.0432503736951775e-238
Cxcl16,45.85184097290039,4.9560370445251465,1.1804514168404476e-287,7.80750567098272e-284
Hexb,45.0766487121582,3.6828346252441406,2.742034287208034e-281,1.3601861081695452e-277
Cd81,44.011558532714844,3.5212597846984863,2.2455269814678517e-252,6.365106623755016e-249
C1qb,43.8530387878418,4.899092197418213,2.534899047872493e-218,4.191455575657167e-215
Cd72,43.395843505859375,4.67797327041626,9.81819408385797e-267,3.24687678353183e-263
Slamf9,41.901161193847656,5.988694667816162,1.0114996949024068e-241,2.0432503736951775e-238
C1qc,41.696922302246094,4.917717933654785,5.845345992700442e-210,8.284525370511583e-207
A430084P05Rik,37.17478942871094,7.101804733276367,1.1917026976582262e-181,9.094524971897894e-179
H2-DMb1,36.667301177978516,3.3779163360595703,2.9910741436795176e-208,3.709305822430562e-205
Tmem176b,35.08975601196289,2.5408005714416504,1.5242210313549496e-183,1.2601497376727045e-180
H2-DMa,35.048980712890625,3.2257630825042725,6.561580345585326e-197,6.509743860855201e-194
C3ar1,34.28706359863281,7.376530647277832,9.513832477554796e-168,6.509429793780768e-165
Cd14,34.21291732788086,4.378597736358643,3.584537412478011e-190,3.3868757780185093e-187
Dab2,33.610511779785156,4.351883888244629,1.9658308070478097e-166,1.3002004957814212e-163
Serinc3,33.48832321166992,2.1578943729400635,2.0825815705490154e-183,1.6529033409133426e-180
Tmem176a,32.98295211791992,2.597548723220825,3.440521033535659e-177,2.528400679533872e-174
Mgl2,31.813570022583008,9.380227088928223,1.60722259363575e-143,8.619056946735284e-141
Ms4a7,31.323930740356445,5.220747470855713,7.729932927346106e-163,4.947655778851659e-160
Lilra5,30.421659469604492,5.486503601074219,1.2482349073771577e-153,7.076422009193589e-151
Rgs10,30.229516983032227,2.6819796562194824,7.070442873758257e-156,4.251264469730647e-153
Ckb,30.057514190673828,2.6953964233398438,8.699401652119568e-156,5.07686845827519e-153
Pea15a,27.50309944152832,3.715162754058838,9.938354208158366e-130,4.481746004506325e-127
Fcgr3,26.80251693725586,2.944702386856079,3.815367033124939e-128,1.6457502754622832e-125
Ctss,26.769628524780273,0.9513577222824097,5.79032921588035e-129,2.553149162255509e-126
Trf,26.59693717956543,3.371713638305664,2.097058935040008e-126,8.321968677812769e-124
Ly86,26.521406173706055,2.108182907104492,1.2878238662629397e-125,4.9140386835363945e-123
Cst3,26.37689208984375,1.0584287643432617,6.33438965263928e-126,2.4644501860327176e-123
P2ry6,26.18174171447754,4.675582408905029,4.25475499926122e-121,1.5633860869507616e-118
