,score,logfoldchanges,pvals,pvals_adj
H2-Aa,7.765537261962891,5.982854843139648,9.024365675233733e-14,1.3565262403635435e-11
Pyhin1,7.7542572021484375,4.451389789581299,7.115762769736473e-14,1.1030544131024304e-11
Rpl4,7.749819278717041,1.0703295469284058,3.2745249172614185e-14,5.459926336832022e-12
H2-Q6,7.739616394042969,4.316383361816406,8.284150837976592e-14,1.2547642818865002e-11
Rps24,7.732097148895264,1.3536007404327393,4.3316263757629034e-14,7.0449287334334044e-12
Gm4951,7.708413124084473,4.10941743850708,9.482064824624654e-14,1.414610001881221e-11
Isg20,7.676216125488281,5.137105941772461,1.3394511580347167e-13,1.968695546498137e-11
Ccnb2,7.657689571380615,7.522027492523193,1.8282738793971763e-13,2.5694211485416985e-11
Krt19,7.638632297515869,7.3225016593933105,2.132971093088909e-13,2.959609260774135e-11
Xaf1,7.621765613555908,3.171816110610962,1.5264929708160833e-13,2.2108520822578632e-11
Cd74,7.614166736602783,3.091789722442627,1.8126051510343157e-13,2.5689793862016352e-11
Gm12250,7.607168674468994,3.752218723297119,1.7636643127249677e-13,2.517599085833727e-11
Hmgb2,7.591918468475342,2.86030650138855,1.8388156591720654e-13,2.5694211485416985e-11
Cldn3,7.5564446449279785,7.900275230407715,3.6853144343983183e-13,4.9408114194142854e-11
Tpt1,7.55128288269043,1.1796852350234985,1.5215653197411743e-13,2.2108520822578632e-11
Crlf2,7.535464763641357,2.1949424743652344,2.3533439876651e-13,3.1985531697500984e-11
Rpl18,7.533334255218506,1.1952694654464722,1.6167408302026477e-13,2.3245921415131116e-11
Trex1,7.497529029846191,1.7442610263824463,2.353536754276355e-13,3.1985531697500984e-11
Cldn7,7.496774673461914,7.472099304199219,5.450082410115053e-13,6.976808721387283e-11
Eif5a,7.487543106079102,1.2609965801239014,2.1901144567084994e-13,3.017795211806253e-11
Rbm3,7.473972797393799,1.9665846824645996,2.9572674932782627e-13,3.991707591947435e-11
Tsc22d1,7.472235202789307,4.002697467803955,4.572092318704683e-13,5.892649296252468e-11
Klk1,7.463528633117676,6.42642068862915,6.733331444626519e-13,8.402689466935809e-11
Rps4x,7.40086030960083,1.1344412565231323,3.9730203842117416e-13,5.220706653213866e-11
