,score,logfoldchanges,pvals,pvals_adj
Fcgr3,23.969072341918945,1.0468387603759766,6.975030798716963e-122,1.032825082896582e-119
Selplg,23.448020935058594,0.904107928276062,2.630666703013931e-114,3.3460056872565657e-112
Arhgap5,23.332275390625,1.402174949645996,6.520144727927792e-116,8.624847446102883e-114
Zfhx3,23.328500747680664,1.1683915853500366,6.058920999062487e-116,8.068530903583749e-114
Cd53,23.290023803710938,0.9275699257850647,1.8644730547151232e-115,2.4338733126090444e-113
Picalm,23.28467559814453,1.5420117378234863,2.6909656996440792e-115,3.467152039762196e-113
Actb,23.190032958984375,0.6903723478317261,2.703907011095921e-114,3.417256236571036e-112
Qk,23.11486053466797,1.1017855405807495,6.116260701373111e-114,7.6809395466231185e-112
Snx18,23.050518035888672,1.5152207612991333,4.8109859295927625e-113,5.966223925936224e-111
Adrb1,22.43703269958496,2.154528856277466,4.476995307063064e-107,5.134828952759845e-105
Mbnl1,22.35907554626465,1.3217617273330688,6.839994634418218e-107,7.799952502076223e-105
Tnfrsf21,22.259004592895508,1.7392865419387817,2.4771491004016593e-105,2.730644025009429e-103
Slc39a1,22.247299194335938,1.9406019449234009,1.4007567584292255e-104,1.5105334565626462e-102
Fscn1,22.23294448852539,1.302180528640747,7.726076272251609e-106,8.564290804134996e-104
Notch2,22.225278854370117,1.599861741065979,9.236490211018885e-105,1.001477807470146e-102
Pip4k2a,22.180091857910156,1.5757856369018555,4.1756364084838645e-105,4.577512575532422e-103
Bmp2k,22.09480094909668,1.574063777923584,2.5787269273326507e-104,2.7657891725478082e-102
Slc7a8,22.05729866027832,1.4882991313934326,4.394437124498771e-104,4.687872119586269e-102
Amfr,22.045902252197266,1.9689137935638428,4.252135888873512e-103,4.440572647738327e-101
Smap2,22.025836944580078,1.1640141010284424,5.606643299033784e-104,5.949038306921302e-102
Mef2a,21.93276023864746,1.5179722309112549,6.333274060388232e-103,6.511130772343176e-101
Lars2,21.8890323638916,1.2613332271575928,1.0262908166435452e-102,1.0442903786585244e-100
Il6ra,21.868934631347656,1.1072440147399902,1.481229707626514e-102,1.4919065918134663e-100
Csf3r,21.85466766357422,1.20262610912323,2.1871422143621234e-102,2.191781606938043e-100
Asah1,21.83648681640625,1.0363867282867432,2.7516035282693493e-102,2.743583779292484e-100
Mpeg1,21.83478355407715,1.1890701055526733,3.0829357559629562e-102,3.0585805634908487e-100
Jun,21.724584579467773,1.3983594179153442,6.919774094160628e-101,6.763653082578087e-99
Slc40a1,21.60175132751465,1.8469035625457764,1.1134349776160586e-99,1.0672839046308133e-97
Hpgd,21.514469146728516,1.153628945350647,2.001475880898238e-99,1.900157149702528e-97
Tmem119,21.41102409362793,0.8205714225769043,7.393738183300953e-97,6.855446403413902e-95
Trf,21.254182815551758,0.8433786630630493,6.09253183653201e-97,5.702264938701328e-95
Epb4.1l2,21.22555160522461,1.130123257637024,6.712531534786216e-97,6.253054024095216e-95
Hpgds,21.207311630249023,0.9796375632286072,9.278148990291762e-97,8.56265266350554e-95
Btg2,21.073286056518555,1.1922088861465454,1.540074096626297e-95,1.3890068284208631e-93
Lifr,20.835676193237305,2.056831121444702,5.763430330553451e-93,5.015701079773753e-91
Nckap1l,20.76664924621582,1.4523048400878906,8.552455267624681e-93,7.410385040183795e-91
Sla,20.68245506286621,1.5746543407440186,5.342485349210653e-92,4.588986766192112e-90
Fam102b,20.636472702026367,1.3897979259490967,1.0055224963723867e-91,8.599817833198662e-90
Numb,20.616886138916016,1.9478751420974731,3.267912743817957e-91,2.7359461883053124e-89
Dusp6,20.58405303955078,1.1432616710662842,2.1403255581737054e-91,1.8071633925652197e-89
Abca1,20.540250778198242,1.6569331884384155,9.934092796669534e-91,8.178932334917712e-89
Macf1,20.53927993774414,1.2860074043273926,6.088833874527724e-91,5.076245451192399e-89
1700017B05Rik,20.49980926513672,1.3989306688308716,1.3052186203234076e-90,1.0701713993577295e-88
Sgk1,20.44221305847168,1.2844408750534058,4.150981185771055e-90,3.375564290494642e-88
Gpr56,20.36517906188965,0.9911523461341858,1.4061067381161628e-89,1.1341451177927195e-87
Laptm5,20.248788833618164,0.8101130723953247,1.9186564141376052e-87,1.4698834196648016e-85
Wtap,20.034440994262695,1.567447543144226,2.0270351362242885e-86,1.5177521197344276e-84
Ins2,19.955204010009766,4.790712833404541,4.373814472936546e-84,3.15582642807298e-82
Daglb,19.918550491333008,1.0191954374313354,7.151766845092744e-86,5.33478788497482e-84
