,score,logfoldchanges,pvals,pvals_adj
Csf1r,50.3809814453125,1.8417181968688965,0.0,0.0
Cx3cr1,46.48175811767578,1.7784596681594849,0.0,0.0
Serinc3,45.773929595947266,1.870478630065918,0.0,0.0
Gpr34,44.4178466796875,1.6965560913085938,0.0,0.0
P2ry12,44.195438385009766,1.5732606649398804,0.0,0.0
Itgb5,42.88401794433594,1.579949975013733,0.0,0.0
Sepp1,38.64244079589844,1.424271821975708,3.068567537711528e-290,5.535137916661105e-287
Glul,38.296852111816406,1.7269580364227295,2.9710466815271803e-291,5.8951508254862306e-288
Cd164,37.060516357421875,1.6831897497177124,2.9167278240148496e-274,4.1338366774359035e-271
Sirpa,35.89472579956055,1.5591338872909546,5.986921871517948e-259,7.919500251643941e-256
Entpd1,34.419830322265625,1.6439106464385986,9.106915175267723e-240,8.213609586711916e-237
P2ry13,34.214820861816406,1.3682748079299927,6.209887970406353e-236,5.1340248795334525e-233
Pros1,33.92388153076172,1.9924163818359375,5.033124211517937e-232,3.994690024197556e-229
Abca9,32.94257736206055,2.327683448791504,1.0821748304403934e-218,7.157504328532762e-216
Ctsd,31.98390769958496,1.341723084449768,4.1335396225705953e-200,2.216694410568804e-197
Rhob,31.66147804260254,1.5108966827392578,1.6043543522254826e-205,9.646545168744857e-203
Cmtm6,31.005977630615234,1.6922340393066406,2.784236223238084e-197,1.4538109247760543e-194
Ubc,30.88031005859375,1.276212453842163,3.1233517275034396e-196,1.589065255823673e-193
Marcks,30.68088150024414,1.1793429851531982,4.058378388989937e-192,2.0131585998584583e-189
Cfh,30.333478927612305,1.6688597202301025,1.116025523961621e-189,5.149808941034065e-187
Hexb,29.696449279785156,1.3191826343536377,2.197398126604934e-174,8.384764159249059e-172
Kctd12,29.666860580444336,1.6872143745422363,6.842930485974002e-182,3.0172761489488033e-179
4632428N05Rik,29.458288192749023,1.1915514469146729,1.1183909155318825e-178,4.824154901300785e-176
Tgfbr1,29.284313201904297,1.4278422594070435,8.030526184454028e-178,3.3196187614986836e-175
Siglech,28.862712860107422,1.1201119422912598,3.85335474312519e-171,1.3653261573766074e-168
Ccr5,28.846933364868164,2.003389358520508,2.2334414468387087e-171,8.057444579667938e-169
Fcrls,28.764453887939453,1.0972110033035278,1.152410036984121e-170,4.011599991901566e-168
Plxdc2,28.529094696044922,1.3813774585723877,2.3000722284230904e-169,7.868626406270856e-167
Cyfip1,27.907180786132812,1.549756407737732,2.7316789621952916e-162,8.338765225827534e-160
Ssh2,27.059926986694336,1.5712414979934692,4.291646577860602e-153,1.1059071610118192e-150
Rnase4,26.86875343322754,1.161338448524475,4.4198775815300295e-151,1.0962401371589854e-148
Pan3,26.867122650146484,1.9608378410339355,2.037648580673315e-149,4.8132170402047523e-147
Slco2b1,26.864944458007812,1.2880369424819946,2.5633905691678787e-151,6.520871240183211e-149
Itgam,26.822790145874023,1.4014099836349487,7.30904693039259e-151,1.7904457925043183e-148
Inpp5d,26.817060470581055,1.3016765117645264,1.145890580615429e-150,2.7727757195818714e-148
Golm1,26.71984100341797,1.1980162858963013,9.763469534052977e-150,2.3340573794539657e-147
Ifngr1,26.52041244506836,1.059359073638916,8.186890700928265e-147,1.9111092386802194e-144
Mertk,26.146028518676758,1.5832160711288452,1.6143077746287358e-143,3.519900534525646e-141
Man2b1,26.00688934326172,1.1745933294296265,2.3316365112521234e-142,4.974659317877918e-140
Ivns1abp,25.977876663208008,1.4822171926498413,8.614335049056018e-142,1.7804753754517655e-139
Tm9sf2,25.959592819213867,1.5027737617492676,1.3983260255009478e-141,2.8603695874216296e-139
Malat1,25.778432846069336,0.7474484443664551,2.182042304288591e-139,4.373341757746891e-137
Cttnbp2nl,25.503095626831055,1.540513515472412,5.749117477866335e-137,1.1407398899582382e-134
Srgap2,25.12206268310547,1.4969757795333862,3.0913004785986124e-133,5.897844624649392e-131
Serinc1,24.836788177490234,1.6739755868911743,6.93699774769892e-130,1.2074027132442278e-127
Pde3b,24.61478042602539,1.5109103918075562,4.5773777076247267e-128,7.829683489197399e-126
Nptn,24.419994354248047,1.6219607591629028,8.204569228164584e-126,1.3454137407044766e-123
Elmo1,24.41626739501953,1.6828120946884155,7.820073283214248e-126,1.2930491173794759e-123
Lpcat2,24.227703094482422,0.9552249312400818,1.0762205284504147e-123,1.6947910893264389e-121
Tacc1,24.196941375732422,1.470257043838501,4.437051322524316e-124,7.043197787322198e-122
Rnf13,24.096942901611328,1.3211615085601807,3.8902702773489804e-123,5.983778514973525e-121
